Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1773836170,50,,Aggregated,0.000000,0.000000,9,12,18,20,25,28,29,30,30,30,30,60,0,9,12.695373933320298,5.601663000106782,29.577505999895948,4644.933333333333
1773836171,50,,Aggregated,0.000000,0.000000,15,15,15,15,15,15,15,15,15,15,15,4,0,11,12.26788475014473,8.644250000088505,15.118141000129981,4465.75
1773836172,50,,Aggregated,0.000000,0.000000,11,13,15,17,23,28,39,39,39,39,39,26,0,9,12.912274615403545,5.764774999988731,38.69472599990331,4543.0
1773836173,50,,Aggregated,0.000000,0.000000,11,12,13,16,23,25,39,39,39,39,39,50,0,9,12.172958739965907,5.764774999988731,38.69472599990331,4423.3
1773836174,50,,Aggregated,0.000000,0.000000,7,7,11,11,11,11,11,11,11,11,11,3,0,7,8.109551333442747,6.485978999990039,10.729294000157097,1492.6666666666667
1773836175,50,,Aggregated,0.000000,0.000000,13,15,17,18,22,29,30,30,30,30,30,28,0,11,13.799130642886277,6.485978999990039,30.39400600027875,4215.392857142857
1773836176,50,,Aggregated,0.000000,0.000000,11,15,17,18,24,27,30,30,30,30,30,50,0,11,13.190635560013106,5.333809000148904,30.39400600027875,4271.5
1773836177,50,,Aggregated,0.000000,0.000000,14,14,14,14,15,15,15,15,15,15,15,6,0,13,12.190527499948681,8.209305000036693,14.572740999938105,4441.666666666667
1773836178,50,,Aggregated,0.000000,0.000000,13,16,17,19,24,25,26,26,26,26,26,26,0,13,14.176443807662928,6.345162000343407,25.985792000028596,4335.7307692307695
1773836179,50,,Aggregated,0.000000,0.000000,12,15,16,17,21,24,26,26,26,26,26,47,0,12,12.745047829779883,6.138330999874597,25.985792000028596,4636.446808510638
1773836180,50,,Aggregated,0.000000,0.000000,9,9,9,9,13,13,13,13,13,13,13,6,0,8,8.866904000039236,7.252799000070809,12.988427999971464,4297.666666666667
1773836181,50,,Aggregated,0.000000,0.000000,9,10,10,12,20,22,38,38,38,38,38,29,0,9,10.83146965518232,6.249564999961876,37.813894000009896,4631.3448275862065
1773836182,50,,Aggregated,0.000000,0.000000,9,10,12,14,20,26,31,38,38,38,38,57,0,9,11.524276210517806,5.840267999701609,37.813894000009896,4302.017543859649
1773836183,50,,Aggregated,0.000000,0.000000,9,9,9,9,9,9,9,9,9,9,9,3,0,9,8.077215666617121,6.428547999803413,9.252629000002344,4736.666666666667
1773836184,50,,Aggregated,0.000000,0.000000,9,11,13,17,22,27,29,29,29,29,29,33,0,9,11.383822242392357,5.9510240002964565,29.042167000170593,4556.545454545455
1773836185,50,,Aggregated,0.000000,0.000000,9,13,18,19,23,29,38,43,43,43,43,57,0,9,12.758885491214306,5.291152000154398,43.12195400007113,4476.596491228071
1773836186,50,,Aggregated,0.000000,0.000000,11,16,16,19,19,19,19,19,19,19,19,5,0,11,12.924310600010358,8.679519999986951,18.683500999941316,3628.6
1773836187,50,,Aggregated,0.000000,0.000000,10,13,14,15,18,21,22,22,22,22,22,33,0,10,11.253328000031726,5.727473999741051,22.280162000242854,4520.30303030303
1773836188,50,,Aggregated,0.000000,0.000000,10,13,14,14,18,21,21,22,22,22,22,57,0,10,11.316342263151519,5.727473999741051,22.280162000242854,4487.263157894737
1773836189,50,,Aggregated,0.000000,0.000000,16,19,21,21,29,29,29,29,29,29,29,8,0,12,15.411688624908493,7.820888999958697,29.35634300001766,4570.875
1773836190,50,,Aggregated,0.000000,0.000000,9,12,15,16,20,21,29,29,29,29,29,32,0,9,11.52566540628186,6.2140439999893715,29.35634300001766,4448.84375
1773836191,50,,Aggregated,0.000000,0.000000,9,10,12,13,19,20,21,29,29,29,29,61,0,9,10.50559808197145,5.041047999839066,29.35634300001766,4508.0
